=== AUTO-SAVED Query at: 2025-10-28 20:18:11 ===
SQL: SELECT * FROM employees WHERE employee_name = 'Ernesto Juarez'...
5,Ernesto Juarez,Sistemas

=== AUTO-SAVED Query at: 2025-10-28 20:19:15 ===
SQL: SELECT * FROM employees...
1,Alice Smith,Sales
2,Bob Johnson,Sales
3,Charlie Lee,Support
4,John Doe,Sales
5,Ernesto Juarez,Sistemas

=== AUTO-SAVED Query at: 2025-10-28 20:22:08 ===
SQL: SELECT * FROM employees...
1,Alice Smith,Sales
2,Bob Johnson,Sales
3,Charlie Lee,Support
4,John Doe,Sales
5,Ernesto Juarez,Sistemas
